amount,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Clusters,Category
459083,Male,Yes,63,Yes,Artist,9.0,Average,3.0,1, Average
459090,Male,No,31,No,Artist,1.0,Low,2.0,0,Below average
459091,Male,Yes,72,Yes,Artist,1.0,Average,6.0,1, Average
459093,Female,Yes,41,Yes,Doctor,9.0,Average,2.0,2,Good
459100,Female,No,61,Yes,Artist,11.0,Low,1.0,1, Average
459106,Male,Yes,62,Yes,Artist,0.0,Low,2.0,1, Average
459114,Male,Yes,56,Yes,Artist,1.0,Average,2.0,2,Good
459116,Male,Yes,60,Yes,Artist,2.0,Average,5.0,1, Average
459117,Male,Yes,68,Yes,Artist,0.0,High,2.0,1, Average
459118,Male,No,19,No,Healthcare,1.0,Low,8.0,0,Below average
459119,Male,Yes,57,Yes,Executive,8.0,High,3.0,2,Good
459120,Male,No,19,No,Healthcare,5.0,Low,5.0,0,Below average
459121,Female,Yes,51,Yes,Artist,3.0,Average,6.0,2,Good
459123,Female,Yes,86,No,Artist,1.0,High,2.0,1, Average
459130,Female,Yes,74,No,Lawyer,1.0,High,2.0,1, Average
459132,Male,No,23,No,Entertainment,6.0,Low,2.0,0,Below average
459136,Male,Yes,47,Yes,Artist,0.0,Average,2.0,2,Good
459140,Female,No,19,No,Healthcare,7.0,Low,6.0,0,Below average
459143,Male,Yes,50,No,Artist,0.0,High,4.0,2,Good
459144,Male,Yes,80,Yes,Lawyer,1.0,High,2.0,1, Average
459145,Male,Yes,78,No,Lawyer,1.0,Low,1.0,1, Average
459150,Female,No,48,Yes,Doctor,0.0,Low,1.0,2,Good
459160,Male,Yes,70,Yes,Doctor,1.0,Average,2.0,1, Average
459161,Male,Yes,50,Yes,Executive,3.0,High,5.0,2,Good
459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,1, Average
459163,Male,No,35,Yes,Entertainment,0.0,Low,1.0,0,Below average
459167,Female,No,36,Yes,Artist,0.0,Low,2.0,0,Below average
459170,Female,No,35,Yes,Artist,1.0,Low,1.0,0,Below average
459171,Male,Yes,35,Yes,Artist,0.0,Average,2.0,0,Below average
459172,Male,No,18,No,Healthcare,3.0,Low,3.0,0,Below average
459175,Female,Yes,73,Yes,Artist,1.0,Average,2.0,1, Average
459181,Male,Yes,62,No,Artist,1.0,High,3.0,1, Average
459182,Female,Yes,46,Yes,Artist,1.0,Average,2.0,2,Good
459184,Male,Yes,43,Yes,Entertainment,0.0,Low,4.0,2,Good
459185,Female,No,32,Yes,Entertainment,7.0,Low,1.0,0,Below average
459193,Male,No,39,Yes,Artist,0.0,Low,1.0,2,Good
459194,Female,Yes,89,Yes,Lawyer,0.0,High,2.0,1, Average
459196,Female,No,18,No,Healthcare,0.0,Low,3.0,0,Below average
459208,Female,Yes,57,Yes,Artist,0.0,High,2.0,2,Good
459209,Female,No,18,No,Entertainment,0.0,Low,4.0,0,Below average
459210,Female,Yes,71,Yes,Artist,1.0,High,2.0,1, Average
459212,Female,Yes,69,Yes,Artist,0.0,Average,2.0,1, Average
459213,Female,No,42,Yes,Healthcare,0.0,Low,4.0,2,Good
459216,Female,No,36,Yes,Artist,0.0,Low,2.0,0,Below average
459220,Female,Yes,80,Yes,Lawyer,1.0,High,2.0,1, Average
459221,Male,Yes,69,No,Entertainment,1.0,Low,1.0,1, Average
459222,Female,Yes,67,Yes,Artist,0.0,Average,3.0,1, Average
459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,2,Good
459224,Female,Yes,49,Yes,Artist,0.0,Average,2.0,2,Good
459227,Female,Yes,32,No,Engineer,9.0,Low,4.0,0,Below average
459229,Female,Yes,65,Yes,Lawyer,1.0,Average,4.0,1, Average
459236,Female,Yes,78,No,Lawyer,0.0,High,2.0,1, Average
459237,Male,No,33,Yes,Artist,1.0,Low,6.0,0,Below average
459244,Male,Yes,48,Yes,Artist,1.0,Low,1.0,2,Good
459247,Male,Yes,58,Yes,Executive,1.0,Average,5.0,2,Good
459258,Female,Yes,83,Yes,Lawyer,1.0,High,2.0,1, Average
459263,Female,No,30,No,Healthcare,9.0,Low,4.0,0,Below average
459264,Female,No,35,Yes,Artist,0.0,Low,2.0,0,Below average
459266,Male,No,32,Yes,Healthcare,6.0,Low,5.0,0,Below average
459270,Male,Yes,69,Yes,Homemaker,1.0,High,2.0,1, Average
459284,Female,Yes,71,Yes,Lawyer,1.0,High,2.0,1, Average
459287,Male,No,43,Yes,Lawyer,0.0,Low,1.0,2,Good
459288,Male,Yes,37,Yes,Artist,0.0,Low,2.0,0,Below average
459289,Male,No,42,Yes,Doctor,0.0,Low,1.0,2,Good
459290,Female,Yes,70,Yes,Doctor,1.0,Average,2.0,1, Average
459292,Male,No,46,Yes,Artist,0.0,Low,2.0,2,Good
459293,Male,No,21,No,Healthcare,1.0,Low,2.0,0,Below average
459296,Male,Yes,70,Yes,Artist,0.0,Average,2.0,1, Average
459300,Female,Yes,61,Yes,Artist,1.0,Low,2.0,1, Average
459307,Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,1, Average
459310,Male,No,37,Yes,Entertainment,0.0,Low,2.0,0,Below average
459316,Male,Yes,30,Yes,Healthcare,1.0,Low,2.0,0,Below average
459318,Female,No,32,Yes,Engineer,1.0,Low,3.0,0,Below average
459320,Male,Yes,26,Yes,Executive,0.0,Low,3.0,0,Below average
459322,Male,No,42,Yes,Marketing,0.0,Low,1.0,2,Good
459323,Female,No,18,No,Doctor,1.0,Low,2.0,0,Below average
459338,Male,Yes,80,No,Executive,1.0,Low,2.0,1, Average
459339,Male,Yes,29,Yes,Healthcare,8.0,High,2.0,0,Below average
459344,Female,Yes,88,Yes,Artist,1.0,High,2.0,1, Average
459347,Male,Yes,70,Yes,Lawyer,1.0,Low,1.0,1, Average
459349,Female,Yes,50,Yes,Artist,1.0,High,4.0,2,Good
459352,Male,Yes,43,Yes,Doctor,4.0,Average,4.0,2,Good
459353,Male,Yes,51,Yes,Artist,6.0,Average,2.0,2,Good
459354,Female,Yes,50,Yes,Artist,1.0,High,3.0,2,Good
459355,Female,Yes,74,No,Homemaker,1.0,Low,1.0,1, Average
459360,Female,No,29,Yes,Healthcare,1.0,Low,3.0,0,Below average
459361,Female,No,32,Yes,Engineer,1.0,Low,2.0,0,Below average
459362,Male,Yes,60,No,Executive,0.0,Low,2.0,1, Average
459363,Male,No,46,Yes,Artist,2.0,Low,1.0,2,Good
459364,Female,Yes,81,Yes,Marketing,0.0,Low,2.0,1, Average
459369,Male,Yes,41,No,Engineer,1.0,Average,7.0,2,Good
459375,Male,Yes,22,No,Executive,0.0,High,4.0,0,Below average
459377,Male,Yes,37,Yes,Artist,0.0,Average,3.0,0,Below average
459383,Male,Yes,43,No,Engineer,0.0,Low,1.0,2,Good
459384,Male,Yes,50,Yes,Artist,1.0,Average,3.0,2,Good
459385,Female,Yes,35,Yes,Artist,1.0,Average,2.0,0,Below average
459386,Male,Yes,65,No,Lawyer,1.0,High,2.0,1, Average
459391,Female,No,41,Yes,Engineer,0.0,Low,4.0,2,Good
459394,Male,No,28,No,Entertainment,8.0,Low,2.0,0,Below average
459397,Male,Yes,55,Yes,Artist,4.0,Average,2.0,2,Good
459398,Female,Yes,58,No,Lawyer,1.0,High,2.0,2,Good
459401,Male,No,28,No,Healthcare,1.0,Low,3.0,0,Below average
459403,Male,Yes,48,Yes,Artist,1.0,Average,4.0,2,Good
459405,Female,Yes,78,No,Doctor,1.0,High,2.0,1, Average
459407,Female,No,35,Yes,Doctor,1.0,Low,3.0,0,Below average
459409,Female,Yes,76,Yes,Lawyer,0.0,High,2.0,1, Average
459410,Female,Yes,88,Yes,Lawyer,1.0,High,2.0,1, Average
459412,Male,Yes,61,Yes,Homemaker,1.0,Average,3.0,1, Average
459413,Female,Yes,79,Yes,Artist,1.0,High,2.0,1, Average
459415,Male,No,30,No,Doctor,0.0,Low,4.0,0,Below average
459418,Male,Yes,69,No,Executive,0.0,High,2.0,1, Average
459419,Male,Yes,65,Yes,Doctor,1.0,Average,2.0,1, Average
459420,Female,Yes,70,Yes,Lawyer,1.0,Low,2.0,1, Average
459421,Male,Yes,32,No,Healthcare,0.0,Average,4.0,0,Below average
459422,Male,Yes,46,Yes,Entertainment,1.0,Low,4.0,2,Good
459423,Male,No,21,No,Healthcare,8.0,Low,5.0,0,Below average
459424,Male,Yes,47,Yes,Doctor,1.0,Low,3.0,2,Good
459428,Female,No,39,No,Marketing,0.0,Low,2.0,2,Good
459432,Male,Yes,85,Yes,Lawyer,0.0,Low,3.0,1, Average
459436,Female,No,66,Yes,Artist,0.0,Low,2.0,1, Average
459439,Female,Yes,50,Yes,Artist,1.0,Average,2.0,2,Good
459445,Female,Yes,42,Yes,Artist,0.0,Average,3.0,2,Good
459447,Male,Yes,53,Yes,Artist,9.0,Low,1.0,2,Good
459449,Male,Yes,37,Yes,Artist,1.0,Low,2.0,0,Below average
459451,Female,Yes,45,Yes,Artist,1.0,Low,2.0,2,Good
459456,Female,No,66,No,Lawyer,1.0,Low,1.0,1, Average
459458,Male,No,33,No,Marketing,1.0,Low,2.0,0,Below average
459459,Male,Yes,40,Yes,Artist,4.0,Low,1.0,2,Good
459461,Female,Yes,35,Yes,Artist,1.0,Low,1.0,0,Below average
459464,Male,No,27,Yes,Artist,1.0,Low,2.0,0,Below average
459466,Female,Yes,48,Yes,Artist,0.0,Average,3.0,2,Good
459467,Female,Yes,56,Yes,Artist,0.0,Average,2.0,2,Good
459469,Male,Yes,25,Yes,Healthcare,1.0,Low,6.0,0,Below average
459471,Female,No,30,No,Artist,1.0,Low,8.0,0,Below average
459480,Female,Yes,46,Yes,Entertainment,7.0,Low,3.0,2,Good
459481,Male,Yes,49,No,Lawyer,0.0,Low,2.0,2,Good
459482,Male,Yes,72,No,Marketing,1.0,Low,4.0,1, Average
459485,Female,Yes,79,Yes,Lawyer,1.0,High,2.0,1, Average
459496,Female,No,35,Yes,Artist,1.0,Low,3.0,0,Below average
459497,Female,Yes,77,Yes,Lawyer,0.0,Low,1.0,1, Average
459499,Female,Yes,79,No,Lawyer,1.0,High,2.0,1, Average
459503,Male,Yes,42,Yes,Healthcare,6.0,High,4.0,2,Good
459505,Female,No,42,Yes,Engineer,1.0,Low,1.0,2,Good
459507,Male,Yes,67,No,Lawyer,1.0,High,2.0,1, Average
459509,Male,No,26,Yes,Healthcare,1.0,Low,1.0,0,Below average
459512,Male,Yes,67,Yes,Lawyer,1.0,High,2.0,1, Average
459515,Male,Yes,55,Yes,Engineer,1.0,Low,1.0,2,Good
459516,Female,No,56,Yes,Artist,1.0,Average,2.0,2,Good
459518,Male,Yes,63,Yes,Homemaker,1.0,Average,4.0,1, Average
459535,Male,Yes,46,Yes,Artist,8.0,Average,2.0,2,Good
459536,Male,Yes,32,Yes,Healthcare,7.0,Low,2.0,0,Below average
459538,Female,No,49,Yes,Homemaker,13.0,Low,1.0,2,Good
459541,Male,Yes,59,Yes,Artist,1.0,High,2.0,2,Good
459549,Male,No,22,No,Healthcare,8.0,Low,5.0,0,Below average
459555,Female,No,28,Yes,Artist,8.0,Low,1.0,0,Below average
459558,Male,No,28,Yes,Entertainment,1.0,Low,3.0,0,Below average
459564,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,1, Average
459566,Female,Yes,37,Yes,Artist,13.0,Low,2.0,0,Below average
459567,Male,Yes,50,Yes,Doctor,0.0,Average,2.0,2,Good
459571,Female,Yes,50,Yes,Executive,1.0,High,4.0,2,Good
459576,Female,Yes,88,No,Lawyer,1.0,Low,2.0,1, Average
459579,Female,Yes,35,Yes,Artist,3.0,Average,5.0,0,Below average
459581,Female,No,35,No,Homemaker,1.0,Low,2.0,0,Below average
459582,Male,Yes,31,No,Entertainment,1.0,Average,3.0,0,Below average
459583,Male,Yes,46,Yes,Artist,0.0,Low,1.0,2,Good
459585,Female,Yes,50,Yes,Artist,1.0,Average,4.0,2,Good
459587,Female,No,33,Yes,Artist,7.0,Low,3.0,0,Below average
459588,Male,Yes,49,Yes,Artist,0.0,Low,1.0,2,Good
459591,Male,Yes,52,Yes,Artist,1.0,Average,3.0,2,Good
459592,Male,No,25,No,Healthcare,0.0,Low,3.0,0,Below average
459594,Female,Yes,41,Yes,Artist,6.0,Low,1.0,2,Good
459597,Female,Yes,68,Yes,Artist,0.0,High,2.0,1, Average
459603,Female,Yes,79,No,Lawyer,2.0,High,2.0,1, Average
459607,Male,Yes,40,Yes,Entertainment,5.0,Average,5.0,2,Good
459608,Female,No,62,Yes,Doctor,1.0,Low,1.0,1, Average
459612,Male,No,21,No,Healthcare,1.0,Low,2.0,0,Below average
459616,Female,No,20,No,Healthcare,1.0,Low,4.0,0,Below average
459617,Male,No,28,Yes,Entertainment,1.0,Low,5.0,0,Below average
459618,Male,Yes,57,Yes,Doctor,0.0,Average,2.0,2,Good
459621,Female,No,25,No,Healthcare,8.0,Low,2.0,0,Below average
459625,Female,Yes,63,No,Engineer,8.0,Low,1.0,1, Average
459626,Female,Yes,26,No,Entertainment,1.0,Low,3.0,0,Below average
459632,Female,Yes,50,No,Marketing,0.0,High,3.0,2,Good
459644,Female,No,30,No,Marketing,9.0,Low,4.0,0,Below average
459652,Female,No,26,No,Engineer,1.0,Low,4.0,0,Below average
459658,Male,Yes,61,Yes,Artist,1.0,Average,3.0,1, Average
459664,Male,No,42,Yes,Artist,3.0,Low,1.0,2,Good
459665,Male,Yes,88,Yes,Artist,4.0,Low,2.0,1, Average
459672,Male,Yes,45,No,Artist,3.0,Average,3.0,2,Good
459673,Female,Yes,86,Yes,Lawyer,1.0,Low,1.0,1, Average
459678,Male,No,18,No,Healthcare,1.0,Low,5.0,0,Below average
459680,Male,No,37,Yes,Entertainment,1.0,Low,1.0,0,Below average
459686,Male,Yes,46,Yes,Artist,1.0,Low,1.0,2,Good
459691,Male,Yes,58,No,Artist,1.0,Average,2.0,2,Good
459692,Female,Yes,72,Yes,Lawyer,8.0,High,2.0,1, Average
459693,Female,Yes,50,Yes,Artist,0.0,High,3.0,2,Good
459699,Female,No,56,Yes,Engineer,8.0,Average,3.0,2,Good
459701,Male,No,46,No,Artist,3.0,Low,3.0,2,Good
459710,Male,Yes,57,Yes,Artist,1.0,Low,1.0,2,Good
459711,Male,Yes,42,No,Executive,9.0,High,6.0,2,Good
459712,Male,No,20,No,Healthcare,1.0,Low,4.0,0,Below average
459713,Male,No,19,No,Healthcare,1.0,Low,3.0,0,Below average
459715,Male,No,19,No,Healthcare,4.0,Low,4.0,0,Below average
459718,Male,Yes,68,Yes,Executive,1.0,Low,1.0,1, Average
459725,Female,Yes,40,Yes,Artist,0.0,Low,2.0,2,Good
459727,Male,Yes,82,No,Lawyer,1.0,High,2.0,1, Average
459740,Female,No,23,No,Healthcare,1.0,Low,3.0,0,Below average
459742,Female,Yes,84,No,Lawyer,1.0,High,2.0,1, Average
459745,Male,Yes,51,No,Artist,0.0,Low,4.0,2,Good
459746,Male,No,59,Yes,Artist,1.0,Average,2.0,2,Good
459747,Female,Yes,41,Yes,Artist,1.0,Average,5.0,2,Good
459748,Male,Yes,51,No,Executive,1.0,High,2.0,2,Good
459755,Female,Yes,62,No,Artist,1.0,Average,3.0,1, Average
459756,Female,Yes,62,No,Lawyer,1.0,High,4.0,1, Average
459760,Female,Yes,38,Yes,Artist,8.0,Low,1.0,2,Good
459763,Male,No,18,No,Artist,1.0,Low,4.0,0,Below average
459767,Male,No,22,No,Healthcare,3.0,Low,4.0,0,Below average
459771,Female,No,30,Yes,Doctor,0.0,Low,3.0,0,Below average
459779,Female,Yes,62,Yes,Entertainment,1.0,Low,1.0,1, Average
459780,Female,No,43,No,Entertainment,1.0,Low,3.0,2,Good
459785,Female,No,32,Yes,Engineer,1.0,Low,1.0,0,Below average
459793,Male,Yes,37,Yes,Artist,1.0,High,2.0,0,Below average
459795,Male,No,48,Yes,Artist,1.0,Low,1.0,2,Good
459801,Female,No,31,Yes,Engineer,4.0,Low,2.0,0,Below average
459804,Male,Yes,46,No,Artist,4.0,High,4.0,2,Good
459806,Female,Yes,49,No,Engineer,1.0,Average,4.0,2,Good
459808,Male,Yes,43,No,Doctor,1.0,Average,4.0,2,Good
459815,Male,No,42,Yes,Artist,8.0,Low,1.0,2,Good
459816,Male,Yes,37,Yes,Doctor,1.0,Low,2.0,0,Below average
459819,Male,Yes,72,Yes,Entertainment,1.0,High,2.0,1, Average
459821,Male,No,71,No,Executive,1.0,High,1.0,1, Average
459822,Female,No,39,Yes,Engineer,1.0,Low,1.0,2,Good
459825,Male,No,20,No,Healthcare,0.0,Low,5.0,0,Below average
459827,Female,No,26,No,Homemaker,1.0,Low,1.0,0,Below average
459832,Male,Yes,72,Yes,Executive,1.0,Low,1.0,1, Average
459845,Male,Yes,70,Yes,Healthcare,0.0,Low,1.0,1, Average
459851,Male,No,45,Yes,Artist,2.0,Low,1.0,2,Good
459853,Male,No,33,No,Executive,7.0,Low,5.0,0,Below average
459856,Male,Yes,50,No,Entertainment,0.0,Average,3.0,2,Good
459857,Male,No,31,Yes,Entertainment,6.0,Low,1.0,0,Below average
459861,Female,Yes,74,No,Lawyer,1.0,High,2.0,1, Average
459864,Female,Yes,68,No,Artist,1.0,High,2.0,1, Average
459866,Female,No,49,Yes,Artist,1.0,Low,1.0,2,Good
459867,Male,Yes,49,Yes,Marketing,0.0,High,2.0,2,Good
459869,Female,No,18,No,Healthcare,1.0,Low,3.0,0,Below average
459871,Female,Yes,85,No,Entertainment,2.0,Average,2.0,1, Average
459885,Female,No,38,Yes,Entertainment,1.0,Low,4.0,2,Good
459886,Male,Yes,28,No,Artist,0.0,Low,4.0,0,Below average
459887,Male,Yes,46,No,Artist,3.0,Average,2.0,2,Good
459889,Male,Yes,59,Yes,Homemaker,9.0,Average,3.0,2,Good
459897,Female,Yes,56,Yes,Artist,0.0,Low,2.0,2,Good
459909,Male,Yes,69,Yes,Artist,0.0,Low,1.0,1, Average
459910,Male,Yes,66,Yes,Artist,0.0,Low,2.0,1, Average
459911,Male,No,18,No,Healthcare,4.0,Low,6.0,0,Below average
459914,Male,No,36,Yes,Artist,4.0,Low,1.0,0,Below average
459923,Male,No,31,Yes,Marketing,1.0,Low,2.0,0,Below average
459925,Male,Yes,67,No,Executive,1.0,High,2.0,1, Average
459937,Female,No,39,Yes,Artist,7.0,Low,1.0,2,Good
459943,Male,No,42,Yes,Entertainment,4.0,Low,3.0,2,Good
459945,Male,Yes,50,Yes,Artist,0.0,Low,2.0,2,Good
459946,Female,Yes,37,Yes,Artist,0.0,Average,2.0,0,Below average
459949,Female,No,59,Yes,Artist,0.0,Low,1.0,2,Good
459953,Male,Yes,50,Yes,Artist,8.0,Low,2.0,2,Good
459961,Male,Yes,48,Yes,Artist,8.0,Low,3.0,2,Good
459962,Male,Yes,55,Yes,Artist,9.0,Low,1.0,2,Good
459966,Female,No,33,Yes,Doctor,1.0,Low,3.0,0,Below average
459968,Male,No,38,Yes,Artist,13.0,Low,1.0,2,Good
459970,Male,No,43,Yes,Artist,0.0,Low,2.0,2,Good
459973,Female,No,53,Yes,Artist,0.0,Low,2.0,2,Good
459974,Male,No,37,Yes,Entertainment,0.0,Low,1.0,0,Below average
459975,Female,No,36,Yes,Artist,5.0,Low,1.0,0,Below average
459981,Male,No,36,Yes,Artist,5.0,Low,1.0,0,Below average
459986,Male,Yes,62,Yes,Artist,1.0,Low,1.0,1, Average
459995,Female,No,38,No,Artist,2.0,Low,2.0,2,Good
459996,Male,No,55,Yes,Entertainment,1.0,Low,1.0,2,Good
459998,Male,Yes,60,No,Entertainment,1.0,Average,2.0,1, Average
460004,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,0,Below average
460006,Male,No,30,No,Entertainment,5.0,Low,9.0,0,Below average
460014,Female,No,66,No,Entertainment,4.0,Low,3.0,1, Average
460023,Male,Yes,45,Yes,Entertainment,1.0,Low,1.0,2,Good
460027,Female,No,40,Yes,Entertainment,6.0,Low,2.0,2,Good
460033,Female,No,45,Yes,Entertainment,5.0,Low,3.0,2,Good
460036,Male,Yes,41,Yes,Homemaker,2.0,Low,1.0,2,Good
460040,Female,Yes,62,Yes,Homemaker,4.0,Low,1.0,1, Average
460045,Male,Yes,61,Yes,Artist,1.0,Low,2.0,1, Average
460046,Female,Yes,50,Yes,Artist,4.0,Low,2.0,2,Good
460050,Male,Yes,53,Yes,Entertainment,3.0,Low,2.0,2,Good
460051,Male,No,39,Yes,Artist,7.0,Low,1.0,2,Good
460052,Female,No,86,Yes,Lawyer,0.0,Low,1.0,1, Average
460058,Male,Yes,50,Yes,Artist,1.0,Low,1.0,2,Good
460059,Female,No,46,No,Entertainment,4.0,Low,2.0,2,Good
460061,Male,No,52,Yes,Marketing,0.0,Low,1.0,2,Good
460066,Female,No,45,No,Marketing,0.0,Low,1.0,2,Good
460068,Female,No,37,Yes,Artist,9.0,Low,1.0,0,Below average
460073,Female,Yes,36,Yes,Engineer,3.0,Low,1.0,0,Below average
460075,Female,No,25,Yes,Artist,1.0,Low,1.0,0,Below average
460079,Female,No,40,No,Doctor,1.0,Low,1.0,2,Good
460081,Male,Yes,41,Yes,Artist,11.0,High,2.0,2,Good
460088,Female,Yes,25,Yes,Homemaker,1.0,High,2.0,0,Below average
460090,Male,Yes,80,No,Lawyer,4.0,Average,2.0,1, Average
460093,Female,No,46,Yes,Artist,3.0,Low,1.0,2,Good
460095,Female,Yes,81,Yes,Lawyer,1.0,Low,1.0,1, Average
460097,Male,No,40,Yes,Artist,0.0,Low,2.0,2,Good
460099,Male,No,49,Yes,Homemaker,1.0,Low,1.0,2,Good
460101,Female,No,26,Yes,Healthcare,8.0,Low,3.0,0,Below average
460103,Male,No,26,Yes,Artist,1.0,Low,1.0,0,Below average
460105,Female,No,47,Yes,Artist,0.0,Low,1.0,2,Good
460106,Female,Yes,71,Yes,Entertainment,0.0,Low,2.0,1, Average
460107,Male,Yes,48,Yes,Engineer,1.0,Average,5.0,2,Good
460108,Male,Yes,39,Yes,Artist,1.0,Average,3.0,2,Good
460109,Male,Yes,50,Yes,Artist,8.0,Average,2.0,2,Good
460110,Female,No,46,Yes,Artist,1.0,Low,2.0,2,Good
460112,Male,Yes,26,Yes,Engineer,8.0,Average,2.0,0,Below average
460116,Female,Yes,42,Yes,Homemaker,1.0,Low,2.0,2,Good
460118,Female,Yes,36,Yes,Artist,4.0,Low,2.0,0,Below average
460119,Male,No,29,Yes,Healthcare,1.0,Low,4.0,0,Below average
460122,Female,No,39,No,Artist,1.0,Low,1.0,2,Good
460124,Female,No,41,Yes,Artist,0.0,Low,3.0,2,Good
460126,Female,Yes,48,Yes,Marketing,8.0,Low,2.0,2,Good
460134,Male,Yes,40,Yes,Entertainment,9.0,High,3.0,2,Good
460135,Female,No,25,Yes,Healthcare,4.0,Low,3.0,0,Below average
460140,Female,Yes,41,Yes,Artist,7.0,Low,2.0,2,Good
460141,Male,No,37,Yes,Artist,11.0,Low,1.0,0,Below average
460144,Female,No,53,Yes,Doctor,0.0,Low,2.0,2,Good
460146,Female,Yes,51,Yes,Engineer,0.0,Average,3.0,2,Good
460147,Male,Yes,73,Yes,Entertainment,1.0,Average,3.0,1, Average
460157,Male,Yes,61,No,Homemaker,1.0,Low,5.0,1, Average
460160,Male,No,39,Yes,Entertainment,5.0,Low,1.0,2,Good
460162,Female,No,19,No,Healthcare,0.0,Low,4.0,0,Below average
460166,Female,No,19,No,Healthcare,0.0,Low,7.0,0,Below average
460167,Female,No,23,No,Entertainment,1.0,Low,5.0,0,Below average
460168,Male,Yes,83,Yes,Executive,0.0,High,2.0,1, Average
460171,Female,Yes,62,Yes,Artist,1.0,High,2.0,1, Average
460174,Female,No,43,Yes,Artist,9.0,Low,4.0,2,Good
460175,Female,No,27,No,Artist,0.0,Low,5.0,0,Below average
460177,Male,No,50,Yes,Artist,0.0,Low,1.0,2,Good
460179,Female,No,23,No,Entertainment,0.0,Low,6.0,0,Below average
460183,Male,No,35,No,Entertainment,9.0,Low,2.0,0,Below average
460185,Male,No,32,No,Healthcare,9.0,Low,3.0,0,Below average
460187,Female,No,42,Yes,Doctor,2.0,Low,3.0,2,Good
460189,Male,No,33,No,Entertainment,13.0,Low,1.0,0,Below average
460190,Female,No,28,Yes,Entertainment,9.0,Low,3.0,0,Below average
460192,Male,Yes,35,Yes,Homemaker,1.0,Low,2.0,0,Below average
460196,Female,No,35,Yes,Healthcare,9.0,Low,2.0,0,Below average
460206,Female,Yes,39,Yes,Entertainment,0.0,Low,2.0,2,Good
460211,Male,Yes,28,Yes,Artist,6.0,Low,1.0,0,Below average
460212,Male,Yes,35,Yes,Entertainment,11.0,Low,6.0,0,Below average
460214,Female,Yes,45,Yes,Engineer,0.0,Average,2.0,2,Good
460222,Female,No,73,Yes,Lawyer,4.0,High,2.0,1, Average
460223,Male,No,52,No,Entertainment,1.0,Low,1.0,2,Good
460227,Male,No,28,No,Healthcare,0.0,Low,3.0,0,Below average
460242,Male,Yes,38,Yes,Healthcare,9.0,Low,3.0,2,Good
460243,Female,No,42,Yes,Entertainment,8.0,Low,1.0,2,Good
460247,Female,No,26,No,Doctor,9.0,Low,2.0,0,Below average
460248,Female,No,27,Yes,Healthcare,7.0,Low,2.0,0,Below average
460252,Male,Yes,41,Yes,Artist,0.0,Low,2.0,2,Good
460263,Male,Yes,41,Yes,Artist,1.0,Low,2.0,2,Good
460265,Male,Yes,47,Yes,Executive,0.0,High,4.0,2,Good
